test_id,expected,actual,max2,max3
192.0,16.0,40.0,16.0,30.0
332.0,34.0,40.0,34.0,25.0
314.0,30.0,30.0,42.0,27.0
279.0,27.0,27.0,42.0,15.0
346.0,37.0,40.0,34.0,25.0
220.0,19.0,19.0,42.0,27.0
359.0,40.0,40.0,38.0,17.0
187.0,16.0,16.0,34.0,42.0
191.0,16.0,16.0,40.0,30.0
246.0,23.0,23.0,20.0,21.0
154.0,14.0,14.0,41.0,40.0
365.0,41.0,41.0,40.0,30.0
230.0,21.0,21.0,19.0,35.0
236.0,22.0,22.0,16.0,20.0
371.0,42.0,42.0,27.0,15.0
308.0,30.0,30.0,29.0,40.0
300.0,29.0,29.0,41.0,27.0
188.0,16.0,16.0,42.0,27.0
257.0,24.0,24.0,31.0,27.0
271.0,27.0,27.0,40.0,33.0
167.0,15.0,15.0,27.0,42.0
196.0,17.0,17.0,40.0,14.0
193.0,16.0,16.0,42.0,27.0
255.0,23.0,23.0,42.0,27.0
201.0,18.0,18.0,40.0,42.0
213.0,18.0,18.0,40.0,34.0
178.0,16.0,16.0,42.0,27.0
161.0,15.0,15.0,39.0,41.0
194.0,16.0,16.0,15.0,40.0
206.0,18.0,18.0,42.0,27.0
231.0,21.0,21.0,35.0,34.0
333.0,34.0,34.0,21.0,41.0
377.0,42.0,42.0,37.0,27.0
159.0,15.0,15.0,40.0,34.0
335.0,35.0,35.0,34.0,21.0
295.0,28.0,28.0,27.0,15.0
342.0,36.0,36.0,34.0,22.0
339.0,36.0,35.0,22.0,34.0
366.0,41.0,41.0,33.0,35.0
323.0,33.0,33.0,40.0,31.0
158.0,14.0,14.0,40.0,41.0
276.0,27.0,27.0,42.0,15.0
298.0,29.0,29.0,30.0,40.0
373.0,42.0,42.0,27.0,15.0
217.0,18.0,18.0,42.0,27.0
199.0,17.0,17.0,27.0,42.0
